期号,日期,中奖号码,特别号码,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50
18/049,2018-05-08,"3,14,18,28,31,40",38,"3,40",3,3,2,4,1,2,1,2,0
18/048,2018-05-05,"3,24,40,44,45,49",8,24,2,4,3,3,1,0,1,1,3
18/047,2018-05-03,"12,24,30,31,32,34",41,,2,4,1,5,0,1,2,3,0
18/046,2018-05-01,"1,5,10,20,21,25",43,21,5,1,4,2,3,1,2,0,0
18/045,2018-04-28,"2,15,17,18,21,44",14,,5,1,3,3,1,3,1,0,1
18/044,2018-04-26,"8,12,20,33,35,45",42,"12,20,33",3,3,3,3,1,2,0,2,1
18/043,2018-04-24,"12,20,21,28,33,41",9,28,3,3,3,3,0,2,2,1,1
18/042,2018-04-22,"10,14,28,30,42,44",35,,2,4,0,6,1,1,2,0,2
18/041,2018-04-19,"20,21,33,40,45,49",43,,2,4,4,2,0,1,1,2,2
18/040,2018-04-17,"3,8,16,22,28,32",24,,4,2,1,5,2,1,2,1,0
18/039,2018-04-14,"12,14,15,36,38,40",42,,3,3,1,5,0,3,0,3,0
18/038,2018-04-12,"1,2,9,11,37,41",18,1,4,2,5,1,3,1,0,1,1
18/037,2018-04-10,"1,15,23,34,43,48",25,"23,43",3,3,4,2,1,1,1,1,2
18/036,2018-04-07,"4,20,23,27,31,43",3,,3,3,4,2,1,1,2,1,1
18/035,2018-04-05,"19,24,29,39,40,42",30,29,2,4,3,3,0,1,2,2,1
18/034,2018-04-03,"21,29,31,41,46,49",36,,1,5,5,1,0,0,2,1,3
18/033,2018-03-31,"9,13,16,18,19,34",21,,5,1,3,3,1,4,0,1,0
18/032,2018-03-29,"5,12,24,27,30,47",43,12,3,3,3,3,1,1,3,0,1
18/031,2018-03-24,"12,19,23,28,35,45",6,,3,3,4,2,0,2,2,1,1
18/030,2018-03-22,"10,18,21,29,33,46",36,29,3,3,3,3,1,1,2,1,1
18/029,2018-03-20,"3,22,27,29,42,45",10,,2,4,4,2,1,0,3,0,2
18/028,2018-03-17,"4,6,23,33,40,47",30,,3,3,3,3,2,0,1,2,1
18/027,2018-03-15,"13,16,25,35,38,49",33,"16,25",2,4,4,2,0,2,1,2,1
18/026,2018-03-13,"5,16,20,25,34,42",2,,3,3,2,4,1,2,1,1,1
18/025,2018-03-10,"7,18,19,26,27,39",2,,3,3,4,2,1,2,2,1,0
18/024,2018-03-08,"1,6,30,43,44,48",7,,2,4,2,4,2,0,1,0,3
18/023,2018-03-06,"2,11,17,19,35,37",20,11,4,2,5,1,1,3,0,2,0
18/022,2018-03-04,"6,10,11,23,28,43",21,,4,2,3,3,2,1,2,0,1
18/021,2018-03-01,"2,14,15,17,18,29",1,,5,1,3,3,1,4,1,0,0
18/020,2018-02-27,"13,24,28,31,41,43",16,,2,4,4,2,0,1,2,1,2
18/019,2018-02-24,"17,20,34,38,42,45",5,20,2,4,2,4,0,2,0,2,2
18/018,2018-02-22,"4,12,19,20,30,39",5,,4,2,2,4,1,3,1,1,0
18/017,2018-02-20,"3,5,25,42,43,44",2,43,2,4,4,2,2,0,1,0,3
18/016,2018-02-15,"1,19,21,32,43,45",34,32,3,3,5,1,1,1,1,1,2
18/015,2018-02-13,"2,9,18,27,32,42",12,"2,9,27",3,3,2,4,2,1,1,1,1
18/014,2018-02-11,"1,2,9,27,33,45",38,,3,3,5,1,3,0,1,1,1
18/013,2018-02-08,"13,16,22,28,37,41",34,28,3,3,3,3,0,2,2,1,1
18/012,2018-02-06,"3,19,26,28,35,48",32,,2,4,3,3,1,1,2,1,1
18/011,2018-02-03,"2,4,12,25,40,49",8,49,3,3,2,4,2,1,1,1,1
18/010,2018-02-01,"20,23,26,29,47,49",39,49,2,4,4,2,0,1,3,0,2
18/009,2018-01-30,"4,7,11,12,40,49",25,,4,2,3,3,2,2,0,1,1
18/008,2018-01-27,"8,17,26,33,43,45",40,,2,4,4,2,1,1,1,1,2
18/007,2018-01-25,"3,14,23,36,40,47",20,3,3,3,3,3,1,1,1,2,1
18/006,2018-01-23,"3,20,27,32,37,41",44,27,2,4,4,2,1,1,1,2,1
18/005,2018-01-20,"2,5,23,24,27,34",8,"2,27",4,2,3,3,2,0,3,1,0
18/004,2018-01-16,"2,21,27,30,36,37",4,,2,4,3,3,1,0,3,2,0
18/003,2018-01-11,"3,29,31,43,47,49",19,"31,49",1,5,6,0,1,0,1,1,3
18/002,2018-01-06,"1,12,21,31,36,49",23,12,3,3,4,2,1,1,1,2,1
18/001,2018-01-02,"12,18,28,35,39,42",36,,2,4,2,4,0,2,1,2,1
17/153,2017-12-30,"1,13,22,25,36,38",37,,3,3,3,3,1,1,2,2,0
17/152,2017-12-28,"15,17,23,40,44,46",11,,3,3,3,3,0,2,1,1,2
17/151,2017-12-26,"2,7,16,28,30,37",12,16,3,3,2,4,2,1,2,1,0
17/150,2017-12-24,"1,16,26,34,39,47",11,47,2,4,3,3,1,1,1,2,1
17/149,2017-12-21,"14,21,22,28,30,47",3,,3,3,2,4,0,1,4,0,1
17/148,2017-12-19,"3,9,33,38,44,49",24,"3,9",2,4,4,2,2,0,0,2,2
17/147,2017-12-16,"1,3,6,9,24,28",36,,5,1,3,3,4,0,2,0,0
17/146,2017-12-14,"7,10,20,25,34,35",8,34,3,3,3,3,2,1,1,2,0
17/145,2017-12-12,"4,15,29,34,38,48",30,"29,38,48",2,4,2,4,1,1,1,2,1
17/144,2017-12-09,"22,24,29,35,38,48",30,,2,4,2,4,0,0,3,2,1
17/143,2017-12-07,"1,25,34,37,39,47",18,,1,5,5,1,1,0,1,3,1
17/142,2017-12-05,"7,9,14,18,20,44",29,"7,14",5,1,2,4,2,3,0,0,1
17/141,2017-12-02,"7,14,19,27,28,38",46,38,3,3,3,3,1,2,2,1,0
17/140,2017-11-30,"4,10,32,35,38,47",49,,2,4,2,4,2,0,0,3,1
17/139,2017-11-28,"6,8,9,23,36,40",19,40,4,2,2,4,3,0,1,2,0
17/138,2017-11-25,"5,13,16,28,40,41",2,,3,3,3,3,1,2,1,1,1
17/137,2017-11-23,"3,4,30,37,39,42",32,30,2,4,3,3,2,0,1,2,1
17/136,2017-11-21,"8,27,30,35,36,43",31,"30,36",1,5,3,3,1,0,2,2,1
17/135,2017-11-18,"19,24,26,30,36,41",43,,2,4,2,4,0,1,3,1,1
17/134,2017-11-16,"3,8,20,34,40,46",24,20,3,3,1,5,2,1,0,2,1
17/133,2017-11-14,"1,15,20,28,33,43",18,28,3,3,4,2,1,2,1,1,1
17/132,2017-11-12,"12,16,22,28,36,37",45,36,3,3,1,5,0,2,2,2,0
17/131,2017-11-09,"3,32,36,46,48,49",29,3,1,5,2,4,1,0,0,2,3
17/130,2017-11-07,"3,18,19,35,38,40",48,,3,3,3,3,1,2,0,3,0
17/129,2017-11-04,"23,30,32,33,43,44",28,32,1,5,3,3,0,0,2,2,2
17/128,2017-11-02,"5,18,20,32,36,40",7,,3,3,1,5,1,2,0,3,0
17/127,2017-10-31,"21,26,29,35,45,49",41,26,1,5,5,1,0,0,3,1,2
17/126,2017-10-28,"7,16,18,22,26,44",9,,4,2,1,5,1,2,2,0,1
17/125,2017-10-26,"4,5,20,29,35,38",36,29,3,3,3,3,2,1,1,2,0
17/124,2017-10-24,"1,8,9,16,29,42",49,"8,16",4,2,3,3,3,1,1,0,1
17/123,2017-10-21,"8,16,18,30,43,45",27,8,3,3,2,4,1,2,1,0,2
17/122,2017-10-19,"8,12,19,24,28,49",37,19,4,2,2,4,1,2,2,0,1
17/121,2017-10-17,"2,4,19,30,35,47",25,,3,3,3,3,2,1,1,1,1
17/120,2017-10-12,"1,6,8,11,12,16",41,6,6,0,2,4,3,3,0,0,0
17/119,2017-10-10,"6,17,22,26,32,45",24,"6,45",3,3,2,4,1,1,2,1,1
17/118,2017-10-07,"3,6,24,38,45,48",5,,3,3,2,4,2,0,1,1,2
17/117,2017-10-04,"10,16,22,23,26,46",25,"22,46",4,2,1,5,1,1,3,0,1
17/116,2017-10-02,"1,8,19,22,35,46",30,19,4,2,3,3,2,1,1,1,1
17/115,2017-09-30,"2,11,19,20,33,49",6,,4,2,4,2,1,3,0,1,1
17/114,2017-09-28,"7,18,24,26,39,45",44,,3,3,3,3,1,1,2,1,1
17/113,2017-09-26,"2,10,19,27,31,33",16,,3,3,4,2,2,1,1,2,0
17/112,2017-09-23,"1,13,22,25,30,36",4,1,3,3,3,3,1,1,3,1,0
17/111,2017-09-21,"1,3,4,5,32,39",10,,4,2,4,2,4,0,0,2,0
17/110,2017-09-19,"7,11,12,30,34,36",17,"12,36",3,3,2,4,1,2,1,2,0
17/109,2017-09-17,"3,12,16,23,36,47",33,,4,2,3,3,1,2,1,1,1
17/108,2017-09-14,"25,26,34,41,42,49",1,49,0,6,3,3,0,0,2,1,3
17/107,2017-09-12,"21,23,30,38,44,49",37,23,2,4,3,3,0,0,3,1,2
17/106,2017-09-09,"4,7,18,23,29,39",49,29,4,2,4,2,2,1,2,1,0
17/105,2017-09-07,"10,19,27,29,41,46",17,,2,4,4,2,1,1,2,0,2
17/104,2017-09-05,"1,2,8,30,39,43",19,1,3,3,3,3,3,0,1,1,1
17/103,2017-09-02,"1,5,11,23,24,27",15,,5,1,5,1,2,1,3,0,0
17/102,2017-08-31,"12,17,18,25,33,37",29,12,3,3,4,2,0,3,1,2,0
17/101,2017-08-29,"12,24,26,34,44,48",4,34,2,4,0,6,0,1,2,1,2
17/100,2017-08-26,"16,34,35,36,40,46",31,,1,5,1,5,0,1,0,4,1
17/099,2017-08-24,"4,7,10,21,28,47",17,4,4,2,3,3,3,0,2,0,1
17/098,2017-08-22,"4,23,24,33,40,43",15,"23,43",3,3,3,3,1,0,2,2,1
17/097,2017-08-19,"2,23,32,34,43,45",22,43,2,4,3,3,1,0,1,2,2
17/096,2017-08-17,"5,21,24,29,43,44",42,,3,3,4,2,1,0,3,0,2
17/095,2017-08-15,"3,4,7,19,20,23",27,"3,4",6,0,4,2,3,2,1,0,0
17/094,2017-08-12,"3,4,15,25,38,45",28,25,3,3,4,2,2,1,1,1,1
17/093,2017-08-10,"18,22,25,32,33,42",29,"25,33",2,4,2,4,0,1,2,2,1
17/092,2017-08-08,"8,10,25,28,33,37",7,25,2,4,3,3,2,0,2,2,0
17/091,2017-08-05,"14,25,32,35,39,48",31,35,1,5,3,3,0,1,1,3,1
17/090,2017-08-03,"6,18,22,24,35,40",36,,4,2,1,5,1,1,2,2,0
17/089,2017-08-01,"10,25,26,32,36,37",46,"25,37",1,5,2,4,1,0,2,3,0
17/088,2017-07-30,"11,15,25,30,37,43",17,37,2,4,5,1,0,2,2,1,1
17/087,2017-07-27,"3,4,31,37,42,44",40,37,2,4,3,3,2,0,0,2,2
17/086,2017-07-25,"8,9,15,33,37,47",1,47,3,3,5,1,2,1,0,2,1
17/085,2017-07-22,"4,6,27,36,47,49",3,,2,4,3,3,2,0,1,1,2
17/084,2017-07-20,"5,9,12,25,26,34",21,,3,3,3,3,2,1,2,1,0
17/083,2017-07-18,"6,14,32,33,40,46",10,,2,4,1,5,1,1,0,3,1
17/082,2017-07-15,"29,34,35,42,43,48",26,29,0,6,3,3,0,0,1,2,3
17/081,2017-07-13,"4,5,25,27,29,41",18,,2,4,5,1,2,0,3,0,1
17/080,2017-07-11,"1,11,20,22,43,45",35,11,4,2,4,2,1,2,1,0,2
17/079,2017-07-08,"3,8,11,21,36,48",37,8,4,2,3,3,2,1,1,1,1
17/078,2017-07-06,"2,6,7,8,10,30",28,2,5,1,1,5,5,0,1,0,0
17/077,2017-07-04,"2,5,15,26,27,38",18,27,3,3,3,3,2,1,2,1,0
17/076,2017-07-02,"4,9,27,33,39,42",35,27,2,4,4,2,2,0,1,2,1
17/075,2017-06-29,"11,16,26,27,29,37",19,,2,4,4,2,0,2,3,1,0
17/074,2017-06-27,"12,24,30,40,44,48",8,30,2,4,0,6,0,1,2,1,2
17/073,2017-06-24,"3,28,30,32,37,42",11,,1,5,2,4,1,0,2,2,1
17/072,2017-06-22,"18,20,21,27,31,49",45,"18,20",3,3,4,2,0,2,2,1,1
17/071,2017-06-20,"15,18,20,25,35,45",34,,3,3,4,2,0,3,1,1,1
17/070,2017-06-17,"9,34,39,42,46,49",32,,1,5,3,3,1,0,0,2,3
17/069,2017-06-15,"1,2,5,12,18,19",44,,6,0,3,3,3,3,0,0,0
17/068,2017-06-13,"21,23,27,34,46,49",44,23,2,4,4,2,0,0,3,1,2
17/067,2017-06-10,"1,13,18,23,30,44",42,23,4,2,3,3,1,2,2,0,1
17/066,2017-06-08,"8,11,15,23,24,29",6,"8,24",5,1,4,2,1,2,3,0,0
17/065,2017-06-06,"8,24,26,30,47,49",35,24,2,4,2,4,1,0,3,0,2
17/064,2017-06-03,"11,15,24,25,33,40",42,,3,3,4,2,0,2,2,2,0
17/063,2017-06-01,"4,18,23,28,36,45",33,18,3,3,2,4,1,1,2,1,1
17/062,2017-05-30,"14,18,27,32,37,38",1,18,2,4,2,4,0,2,1,3,0
17/061,2017-05-27,"5,7,18,22,33,43",27,,4,2,4,2,2,1,1,1,1
17/060,2017-05-25,"23,26,27,39,40,48",7,23,1,5,3,3,0,0,3,2,1
17/059,2017-05-23,"7,13,17,23,29,46",49,17,4,2,5,1,1,2,2,0,1
17/058,2017-05-20,"2,3,17,34,38,48",14,,3,3,2,4,2,1,0,2,1
17/057,2017-05-18,"7,11,20,28,41,49",32,7,3,3,4,2,1,2,1,0,2
17/056,2017-05-16,"1,5,7,9,10,15",3,"1,7",6,0,5,1,5,1,0,0,0
17/055,2017-05-14,"1,7,12,18,27,33",20,,4,2,4,2,2,2,1,1,0
17/054,2017-05-11,"9,16,22,38,40,46",11,22,3,3,1,5,1,1,1,2,1
17/053,2017-05-09,"6,22,23,31,36,45",12,,3,3,3,3,1,0,2,2,1
17/052,2017-05-06,"1,3,9,13,34,35",27,,4,2,5,1,3,1,0,2,0
17/051,2017-05-04,"4,17,21,32,36,46",27,,3,3,2,4,1,1,1,2,1
17/050,2017-05-02,"1,20,22,27,31,41",2,"22,31",3,3,4,2,1,1,2,1,1
17/049,2017-04-29,"5,8,14,22,31,48",33,48,4,2,2,4,2,1,1,1,1
17/048,2017-04-27,"16,17,21,42,48,49",37,"21,49",3,3,3,3,0,2,1,0,3
17/047,2017-04-25,"1,21,22,45,46,49",14,1,3,3,4,2,1,0,2,0,3
17/046,2017-04-22,"1,9,11,23,29,34",6,"11,29",4,2,5,1,2,1,2,1,0
17/045,2017-04-18,"4,10,11,18,29,38",28,"4,29",4,2,2,4,2,2,1,1,0
17/044,2017-04-15,"1,4,5,29,33,44",39,4,3,3,4,2,3,0,1,1,1
17/043,2017-04-13,"4,10,25,26,38,49",34,,2,4,2,4,2,0,2,1,1
17/042,2017-04-11,"14,17,22,29,30,31",38,"14,30",3,3,3,3,0,2,3,1,0
17/041,2017-04-08,"2,11,14,20,27,30",19,,4,2,2,4,1,3,2,0,0
17/040,2017-04-06,"4,21,24,39,45,46",40,,3,3,3,3,1,0,2,1,2
17/039,2017-04-04,"3,9,19,33,40,41",26,,3,3,5,1,2,1,0,2,1
17/038,2017-04-01,"7,17,20,34,36,44",23,,3,3,2,4,1,2,0,2,1
17/037,2017-03-30,"18,19,21,30,38,48",7,21,3,3,2,4,0,2,2,1,1
17/036,2017-03-28,"2,9,21,35,36,40",44,9,3,3,3,3,2,0,1,3,0
17/035,2017-03-25,"9,10,23,30,38,48",16,,3,3,2,4,2,0,2,1,1
17/034,2017-03-23,"5,14,17,33,41,47",16,,3,3,5,1,1,2,0,1,2
17/033,2017-03-21,"8,12,20,25,37,46",2,46,3,3,2,4,1,2,1,1,1
17/032,2017-03-18,"2,13,17,23,30,46",8,2,4,2,3,3,1,2,2,0,1
17/031,2017-03-16,"1,2,11,19,40,48",4,2,4,2,3,3,2,2,0,1,1
17/030,2017-03-14,"2,32,33,35,36,44",48,32,1,5,2,4,1,0,0,4,1
17/029,2017-03-11,"1,4,20,27,32,39",15,,3,3,3,3,2,1,1,2,0
17/028,2017-03-09,"17,19,25,35,41,44",26,19,2,4,5,1,0,2,1,1,2
17/027,2017-03-07,"2,14,18,19,40,43",42,18,4,2,2,4,1,3,0,1,1
17/026,2017-03-04,"10,18,22,23,29,32",45,,4,2,2,4,1,1,3,1,0
17/025,2017-03-02,"6,13,31,42,43,45",34,42,2,4,4,2,1,1,0,1,3
17/024,2017-02-28,"15,20,24,34,42,44",7,20,3,3,1,5,0,2,1,1,2
17/023,2017-02-25,"4,12,19,20,25,26",8,,4,2,2,4,1,3,2,0,0
17/022,2017-02-23,"13,15,16,32,34,46",10,"13,32",3,3,2,4,0,3,0,2,1
17/021,2017-02-21,"1,7,13,29,32,44",20,,3,3,4,2,2,1,1,1,1
17/020,2017-02-18,"5,8,12,17,20,37",45,"5,8",5,1,3,3,2,3,0,1,0
17/019,2017-02-16,"5,8,23,34,41,44",7,,3,3,3,3,2,0,1,1,2
17/018,2017-02-14,"14,16,21,28,43,46",26,21,3,3,2,4,0,2,2,0,2
17/017,2017-02-12,"7,21,26,30,38,47",15,,2,4,3,3,1,0,3,1,1
17/016,2017-02-09,"3,12,13,19,24,45",40,,5,1,4,2,1,3,1,0,1
17/015,2017-02-07,"6,11,22,25,32,33",24,"25,33",3,3,3,3,1,1,2,2,0
17/014,2017-02-04,"7,14,25,28,33,40",26,14,2,4,3,3,1,1,2,2,0
17/013,2017-02-01,"13,14,18,23,29,35",45,,4,2,4,2,0,3,2,1,0
17/012,2017-01-28,"8,15,25,30,34,40",42,,2,4,2,4,1,1,2,2,0
17/011,2017-01-26,"13,24,28,29,31,44",10,,2,4,3,3,0,1,3,1,1
17/010,2017-01-24,"2,5,23,27,36,43",20,27,3,3,4,2,2,0,2,1,1
17/009,2017-01-21,"8,27,28,37,38,49",33,,1,5,3,3,1,0,2,2,1
17/008,2017-01-19,"1,2,13,23,35,43",18,,4,2,5,1,2,1,1,1,1
17/007,2017-01-17,"26,27,28,36,42,47",33,,0,6,2,4,0,0,3,1,2
17/006,2017-01-15,"1,6,22,37,44,48",35,,3,3,2,4,2,0,1,1,2
17/005,2017-01-12,"18,25,27,30,40,43",6,,1,5,3,3,0,1,3,1,1
17/004,2017-01-10,"2,7,14,26,38,39",12,"7,14",3,3,2,4,2,1,1,2,0
17/003,2017-01-07,"7,10,14,29,45,46",19,14,3,3,3,3,2,1,1,0,2
17/002,2017-01-05,"5,14,20,21,36,49",39,,4,2,3,3,1,2,1,1,1
17/001,2017-01-03,"4,11,22,29,37,46",18,,3,3,3,3,1,1,2,1,1
16/151,2016-12-31,"8,9,12,15,17,28",33,"15,17",5,1,3,3,2,3,1,0,0
16/150,2016-12-29,"2,11,13,15,17,21",26,,6,0,5,1,1,4,1,0,0
16/149,2016-12-25,"3,4,10,26,37,43",41,4,3,3,3,3,3,0,1,1,1
16/148,2016-12-23,"4,14,16,25,32,35",47,32,3,3,2,4,1,2,1,2,0
16/147,2016-12-20,"5,28,32,34,37,48",39,28,1,5,2,4,1,0,1,3,1
16/146,2016-12-18,"3,10,21,26,28,38",29,,3,3,2,4,2,0,3,1,0
16/145,2016-12-15,"15,19,20,32,33,34",23,,3,3,3,3,0,3,0,3,0
16/144,2016-12-13,"7,14,26,31,38,44",37,7,2,4,2,4,1,1,1,2,1
16/143,2016-12-10,"7,22,32,33,34,39",45,39,2,4,3,3,1,0,1,4,0
16/142,2016-12-08,"9,24,26,28,37,39",29,,2,4,3,3,1,0,3,2,0
16/141,2016-12-06,"3,7,17,29,32,49",11,,3,3,5,1,2,1,1,1,1
16/140,2016-12-03,"8,13,23,30,47,48",7,,3,3,3,3,1,1,2,0,2
16/139,2016-12-01,"9,15,18,21,24,37",16,"18,24",5,1,4,2,1,2,2,1,0
16/138,2016-11-29,"4,11,18,22,24,49",25,4,5,1,2,4,1,2,2,0,1
16/137,2016-11-26,"1,2,3,4,7,10",33,3,6,0,3,3,6,0,0,0,0
16/136,2016-11-24,"3,9,24,31,38,49",41,38,3,3,4,2,2,0,1,2,1
16/135,2016-11-22,"12,13,16,18,38,40",5,,4,2,1,5,0,4,0,2,0
16/134,2016-11-19,"2,6,23,24,37,42",32,,4,2,2,4,2,0,2,1,1
16/133,2016-11-17,"5,18,26,28,30,45",33,18,2,4,2,4,1,1,3,0,1
16/132,2016-11-15,"10,15,17,18,27,40",26,27,4,2,3,3,1,3,1,1,0
16/131,2016-11-13,"2,16,27,29,34,41",42,,2,4,3,3,1,1,2,1,1
16/130,2016-11-10,"3,17,38,39,46,49",37,3,2,4,4,2,1,1,0,2,2
16/129,2016-11-08,"3,5,6,11,34,42",28,42,4,2,3,3,3,1,0,1,1
16/128,2016-11-05,"9,12,31,39,42,46",48,,2,4,3,3,1,1,0,2,2
16/127,2016-11-03,"6,14,18,22,30,38",47,,4,2,0,6,1,2,2,1,0
16/126,2016-11-01,"1,2,21,31,33,36",8,,3,3,4,2,2,0,1,3,0
16/125,2016-10-29,"22,26,32,38,43,47",42,,1,5,2,4,0,0,2,2,2
16/124,2016-10-27,"8,16,17,34,35,44",41,"8,17",3,3,2,4,1,2,0,2,1
16/123,2016-10-25,"7,8,12,17,22,29",14,12,5,1,3,3,2,2,2,0,0
16/122,2016-10-22,"3,12,13,20,33,43",35,,4,2,4,2,1,3,0,1,1
16/121,2016-10-20,"2,4,7,15,28,45",19,28,4,2,3,3,3,1,1,0,1
16/120,2016-10-18,"8,27,28,30,38,41",12,"27,28",1,5,2,4,1,0,3,1,1
16/119,2016-10-15,"7,12,18,27,28,40",10,"27,40",3,3,2,4,1,2,2,1,0
16/118,2016-10-13,"2,9,16,27,32,40",46,16,3,3,2,4,2,1,1,2,0
16/117,2016-10-11,"16,19,24,28,36,42",13,"28,36",3,3,1,5,0,2,2,1,1
16/116,2016-10-09,"12,26,28,36,45,49",9,,1,5,2,4,0,1,2,1,2
16/115,2016-10-06,"5,11,13,19,33,48",34,,4,2,5,1,1,3,0,1,1
16/114,2016-10-04,"2,6,10,28,38,40",30,,3,3,0,6,3,0,1,2,0
16/113,2016-10-02,"7,8,21,22,34,46",6,,4,2,2,4,2,0,2,1,1
16/112,2016-09-29,"14,20,28,33,41,48",40,28,2,4,2,4,0,2,1,1,2
16/111,2016-09-27,"12,16,19,23,28,32",27,,4,2,2,4,0,3,2,1,0
16/110,2016-09-24,"1,17,20,34,43,44",42,"43,44",3,3,3,3,1,2,0,1,2
16/109,2016-09-22,"5,30,38,43,44,47",14,44,1,5,3,3,1,0,1,1,3
16/108,2016-09-20,"4,16,19,27,41,44",25,,3,3,3,3,1,2,1,0,2
16/107,2016-09-17,"3,18,21,25,31,42",26,25,3,3,4,2,1,1,2,1,1
16/106,2016-09-15,"24,25,34,35,44,49",30,49,1,5,3,3,0,0,2,2,2
16/105,2016-09-13,"1,13,19,21,38,49",23,38,4,2,5,1,1,2,1,1,1
16/104,2016-09-10,"7,16,32,37,38,46",22,,2,4,2,4,1,1,0,3,1
16/103,2016-09-08,"3,4,5,26,45,48",14,48,3,3,3,3,3,0,1,0,2
16/102,2016-09-06,"11,15,33,41,43,48",27,43,2,4,5,1,0,2,0,1,3
16/101,2016-09-04,"8,25,26,28,38,43",22,8,1,5,2,4,1,0,3,1,1
16/100,2016-09-01,"8,11,13,30,34,49",2,34,3,3,3,3,1,2,1,1,1
16/099,2016-08-30,"14,20,21,31,34,42",25,,3,3,2,4,0,2,1,2,1
16/098,2016-08-27,"3,6,13,24,37,43",30,,4,2,4,2,2,1,1,1,1
16/097,2016-08-25,"4,20,34,35,40,47",3,,2,4,2,4,1,1,0,3,1
16/096,2016-08-23,"14,16,24,25,43,44",3,,3,3,2,4,0,2,2,0,2
16/095,2016-08-20,"2,3,15,28,46,48",33,"3,46",3,3,2,4,2,1,1,0,2
16/094,2016-08-18,"3,17,20,22,45,46",30,"20,46",4,2,3,3,1,2,1,0,2
16/093,2016-08-16,"5,12,14,20,27,46",26,,4,2,2,4,1,3,1,0,1
16/092,2016-08-13,"3,4,11,23,44,47",24,"11,23",4,2,4,2,2,1,1,0,2
16/091,2016-08-11,"10,11,19,23,30,38",13,,4,2,3,3,1,2,2,1,0
16/090,2016-08-09,"5,9,13,22,34,39",40,,4,2,4,2,2,1,1,2,0
16/089,2016-08-06,"2,17,23,32,36,40",3,,3,3,2,4,1,1,1,3,0
16/088,2016-08-04,"10,16,34,41,45,47",7,,2,4,3,3,1,1,0,1,3
16/087,2016-08-02,"7,11,12,19,21,39",49,21,5,1,5,1,1,3,1,1,0
16/086,2016-07-30,"9,21,29,33,35,48",28,35,2,4,5,1,1,0,2,2,1
16/085,2016-07-28,"12,20,24,35,39,47",15,,3,3,3,3,0,2,1,2,1
16/084,2016-07-26,"3,14,17,21,28,49",12,,4,2,4,2,1,2,2,0,1
16/083,2016-07-24,"11,18,26,31,39,44",24,"11,44",2,4,3,3,0,2,1,2,1
16/082,2016-07-22,"10,11,22,41,44,46",35,46,3,3,2,4,1,1,1,0,3
16/081,2016-07-19,"7,21,27,33,46,47",4,7,2,4,5,1,1,0,2,1,2
16/080,2016-07-16,"1,2,7,16,24,34",36,16,5,1,2,4,3,1,1,1,0
16/079,2016-07-14,"16,21,30,36,38,47",48,,2,4,2,4,0,1,2,2,1
16/078,2016-07-12,"12,20,31,32,35,45",18,"20,31",2,4,3,3,0,2,0,3,1
16/077,2016-07-09,"7,19,20,28,30,31",29,31,3,3,3,3,1,2,2,1,0
16/076,2016-07-07,"13,14,21,31,38,44",22,"13,44",3,3,3,3,0,2,1,2,1
16/075,2016-07-05,"1,6,13,17,34,44",38,,4,2,3,3,2,2,0,1,1
16/074,2016-07-02,"2,8,16,32,33,37",5,"2,16",3,3,2,4,2,1,0,3,0
16/073,2016-06-30,"2,5,6,7,16,29",35,7,5,1,3,3,4,1,1,0,0
16/072,2016-06-28,"7,13,23,30,32,48",36,,3,3,3,3,1,1,2,1,1
16/071,2016-06-25,"10,15,22,38,42,43",18,,3,3,2,4,1,1,1,1,2
16/070,2016-06-23,"6,9,21,35,48,49",29,"9,21",3,3,4,2,2,0,1,1,2
16/069,2016-06-21,"9,10,20,21,38,39",49,,4,2,3,3,2,1,1,2,0
16/068,2016-06-18,"4,5,8,12,34,37",24,,4,2,2,4,3,1,0,2,0
16/067,2016-06-16,"19,22,27,29,45,48",4,,2,4,4,2,0,1,3,0,2
16/066,2016-06-14,"13,15,30,36,44,49",37,,2,4,3,3,0,2,1,1,2
16/065,2016-06-11,"10,14,23,29,40,42",11,42,3,3,2,4,1,1,2,1,1
16/064,2016-06-08,"4,13,34,36,42,48",19,,2,4,1,5,1,1,0,2,2
16/063,2016-06-06,"2,5,8,12,20,49",47,8,5,1,2,4,3,2,0,0,1
16/062,2016-06-04,"8,16,21,32,38,48",11,,3,3,1,5,1,1,1,2,1
16/061,2016-06-02,"3,4,19,24,26,34",38,24,4,2,2,4,2,1,2,1,0
16/060,2016-05-31,"21,24,36,38,39,44",49,"21,36",2,4,2,4,0,0,2,3,1
16/059,2016-05-28,"21,23,32,33,36,42",20,36,2,4,3,3,0,0,2,3,1
16/058,2016-05-26,"9,15,36,38,46,48",22,46,2,4,2,4,1,1,0,2,2
16/057,2016-05-24,"14,18,33,34,35,46",42,,2,4,2,4,0,2,0,3,1
16/056,2016-05-21,"6,13,23,25,44,48",11,,3,3,3,3,1,1,2,0,2
16/055,2016-05-19,"2,8,20,24,37,39",18,24,4,2,2,4,2,1,1,2,0
16/054,2016-05-17,"1,19,23,24,32,40",35,,4,2,3,3,1,1,2,2,0
16/053,2016-05-15,"2,11,25,28,36,46",42,,2,4,2,4,1,1,2,1,1
16/052,2016-05-12,"4,12,19,20,27,49",21,20,4,2,3,3,1,3,1,0,1
